iso2,country_wb,year,tfr
AT,Austria,1970,2.29
AT,Austria,1971,2.2
AT,Austria,1972,2.08
AT,Austria,1973,1.94
AT,Austria,1974,1.91
AT,Austria,1975,1.83
AT,Austria,1976,1.69
AT,Austria,1977,1.63
AT,Austria,1978,1.6
AT,Austria,1979,1.6
AT,Austria,1980,1.65
AT,Austria,1981,1.67
AT,Austria,1982,1.66
AT,Austria,1983,1.56
AT,Austria,1984,1.52
AT,Austria,1985,1.47
AT,Austria,1986,1.45
AT,Austria,1987,1.43
AT,Austria,1988,1.45
AT,Austria,1989,1.45
AT,Austria,1990,1.46
AT,Austria,1991,1.51
AT,Austria,1992,1.51
AT,Austria,1993,1.5
AT,Austria,1994,1.47
AT,Austria,1995,1.42
AT,Austria,1996,1.45
AT,Austria,1997,1.39
AT,Austria,1998,1.37
AT,Austria,1999,1.34
AT,Austria,2000,1.36
AT,Austria,2001,1.33
AT,Austria,2002,1.39
AT,Austria,2003,1.38
AT,Austria,2004,1.42
AT,Austria,2005,1.41
AT,Austria,2006,1.41
AT,Austria,2007,1.38
AT,Austria,2008,1.42
AT,Austria,2009,1.39
AT,Austria,2010,1.44
AT,Austria,2011,1.43
AT,Austria,2012,1.44
AT,Austria,2013,1.44
AT,Austria,2014,1.46
AT,Austria,2015,1.49
AT,Austria,2016,1.53
AT,Austria,2017,1.52
AT,Austria,2018,1.47
AT,Austria,2019,1.46
AT,Austria,2020,1.44
AT,Austria,2021,1.48
AT,Austria,2022,1.41
AT,Austria,2023,1.32
AT,Austria,2024,1.31
BE,Belgium,1970,2.25
BE,Belgium,1971,2.21
BE,Belgium,1972,2.09
BE,Belgium,1973,1.95
BE,Belgium,1974,1.83
BE,Belgium,1975,1.74
BE,Belgium,1976,1.73
BE,Belgium,1977,1.71
BE,Belgium,1978,1.69
BE,Belgium,1979,1.69
BE,Belgium,1980,1.68
BE,Belgium,1981,1.66
BE,Belgium,1982,1.61
BE,Belgium,1983,1.57
BE,Belgium,1984,1.54
BE,Belgium,1985,1.51
BE,Belgium,1986,1.54
BE,Belgium,1987,1.54
BE,Belgium,1988,1.57
BE,Belgium,1989,1.58
BE,Belgium,1990,1.62
BE,Belgium,1991,1.66
BE,Belgium,1992,1.65
BE,Belgium,1993,1.61
BE,Belgium,1994,1.56
BE,Belgium,1995,1.56
BE,Belgium,1996,1.59
BE,Belgium,1997,1.6
BE,Belgium,1998,1.6
BE,Belgium,1999,1.62
BE,Belgium,2000,1.67
BE,Belgium,2001,1.67
BE,Belgium,2002,1.65
BE,Belgium,2003,1.67
BE,Belgium,2004,1.72
BE,Belgium,2005,1.76
BE,Belgium,2006,1.8
BE,Belgium,2007,1.82
BE,Belgium,2008,1.85
BE,Belgium,2009,1.84
BE,Belgium,2010,1.86
BE,Belgium,2011,1.81
BE,Belgium,2012,1.8
BE,Belgium,2013,1.76
BE,Belgium,2014,1.74
BE,Belgium,2015,1.7
BE,Belgium,2016,1.68
BE,Belgium,2017,1.65
BE,Belgium,2018,1.62
BE,Belgium,2019,1.6
BE,Belgium,2020,1.55
BE,Belgium,2021,1.6
BE,Belgium,2022,1.53
BE,Belgium,2023,1.47
BE,Belgium,2024,1.44
CZ,Czechia,1970,1.92
CZ,Czechia,1971,2
CZ,Czechia,1972,2.09
CZ,Czechia,1973,2.31
CZ,Czechia,1974,2.46
CZ,Czechia,1975,2.43
CZ,Czechia,1976,2.39
CZ,Czechia,1977,2.34
CZ,Czechia,1978,2.33
CZ,Czechia,1979,2.27
CZ,Czechia,1980,2.08
CZ,Czechia,1981,2
CZ,Czechia,1982,2
CZ,Czechia,1983,1.97
CZ,Czechia,1984,1.97
CZ,Czechia,1985,1.95
CZ,Czechia,1986,1.92
CZ,Czechia,1987,1.91
CZ,Czechia,1988,1.94
CZ,Czechia,1989,1.87
CZ,Czechia,1990,1.9
CZ,Czechia,1991,1.86
CZ,Czechia,1992,1.71
CZ,Czechia,1993,1.67
CZ,Czechia,1994,1.44
CZ,Czechia,1995,1.28
CZ,Czechia,1996,1.18
CZ,Czechia,1997,1.17
CZ,Czechia,1998,1.16
CZ,Czechia,1999,1.13
CZ,Czechia,2000,1.15
CZ,Czechia,2001,1.15
CZ,Czechia,2002,1.17
CZ,Czechia,2003,1.18
CZ,Czechia,2004,1.23
CZ,Czechia,2005,1.29
CZ,Czechia,2006,1.34
CZ,Czechia,2007,1.45
CZ,Czechia,2008,1.51
CZ,Czechia,2009,1.51
CZ,Czechia,2010,1.51
CZ,Czechia,2011,1.43
CZ,Czechia,2012,1.45
CZ,Czechia,2013,1.46
CZ,Czechia,2014,1.53
CZ,Czechia,2015,1.57
CZ,Czechia,2016,1.63
CZ,Czechia,2017,1.69
CZ,Czechia,2018,1.71
CZ,Czechia,2019,1.71
CZ,Czechia,2020,1.74
CZ,Czechia,2021,1.83
CZ,Czechia,2022,1.64
CZ,Czechia,2023,1.46
CZ,Czechia,2024,1.36
DE,Germany,1970,2.03
DE,Germany,1971,1.92
DE,Germany,1972,1.71
DE,Germany,1973,1.54
DE,Germany,1974,1.51
DE,Germany,1975,1.45
DE,Germany,1976,1.45
DE,Germany,1977,1.4
DE,Germany,1978,1.38
DE,Germany,1979,1.38
DE,Germany,1980,1.44
DE,Germany,1981,1.43
DE,Germany,1982,1.41
DE,Germany,1983,1.33
DE,Germany,1984,1.29
DE,Germany,1985,1.37
DE,Germany,1986,1.43
DE,Germany,1987,1.43
DE,Germany,1988,1.46
DE,Germany,1989,1.42
DE,Germany,1990,1.45
DE,Germany,1991,1.33
DE,Germany,1992,1.29
DE,Germany,1993,1.28
